a52dec 0.8.0-2
karchive5 5.115.0-1
kate 23.08.5-1
kauth5 5.115.0-1
kbd 2.6.4-1
kbookmarks5 5.115.0-1
kcmutils5 5.115.0-1
kcodecs5 5.115.0-1
kcompletion5 5.115.0-1
kconfig5 5.115.0-1
kconfigwidgets5 5.115.0-1
kcontacts5 5.115.0-1
kcoreaddons5 5.115.0-1
kcrash5 5.115.0-1
kdbusaddons5 5.115.0-1
kde-cli-tools 5.27.10-1
kdeclarative5 5.115.0-1
kdeconnect 23.08.5-1
kdecoration 5.27.10-1
kded5 5.115.0-1
kdelibs4support 5.115.0-1
kdesu5 5.115.0-1
kdnssd5 5.115.0-1
kdsoap-qt5 2.2.0-1
kemoticons 5.115.0-1
keyutils 1.6.3-2
kfilemetadata5 5.115.0-1
kglobalaccel5 5.115.0-1
kguiaddons5 5.115.0-1
kholidays5 1:5.115.0-1
khtml 5.115.0-1
ki18n5 5.115.1-1
kiconthemes5 5.115.0-1
kidletime5 5.115.0-1
kio-extras 23.08.5-1
kio-fuse 5.1.0-1
kio5 5.115.0-1
kirigami-addons5 0.11.0-7
kirigami2 5.115.0-1
kitemmodels5 5.115.0-1
kitemviews5 5.115.0-1
kitty 0.31.0-1
kitty-shell-integration 0.31.0-1
kitty-terminfo 0.31.0-1
kjobwidgets5 5.115.0-1
kjs 5.115.0-1
kmenuedit 5.27.10-1
kmod 31-1
knewstuff5 5.115.0-1
knotifications5 5.115.0-1
knotifyconfig5 5.115.0-1
kodi 20.4-1
kpackage5 5.115.0-1
kparts5 5.115.0-1
kpeople5 5.115.0-1
kpeoplevcard 0.1-2
kpipewire 5.27.10-1
kpty5 5.115.0-1
kquickcharts5 5.115.0-1
krb5 1.21.2-2
krunner5 5.115.0-1
kscreen 5.27.10-1
kscreenlocker 5.27.10-1
kservice5 5.115.0-1
ksystemstats 5.27.10-1
ktexteditor5 5.115.0-1
ktextwidgets5 5.115.0-1
kunitconversion5 5.115.0-1
kuserfeedback5 1.3.0-4
kwallet5 5.115.0-1
kwayland-integration 5.27.10-1
kwayland5 5.115.0-1
kwidgetsaddons5 5.115.0-1
kwin 5.27.10-2
kwindowsystem5 5.115.0-1
kxmlgui5 5.115.0-1
l-smash 2.14.5-3
lame 3.100-4
lapack 3.12.0-3
layer-shell-qt 5.27.10-1
lcalc 2.0.5-2
lcms2 2.16-1
ldb 2:2.8.0-1
ldns 1.8.3-2
lib32-gcc-libs 13.2.1-5
lib32-glibc 2.39-1
libaccounts-glib 1.26-2
libaccounts-qt 1.16-3
libadwaita 1:1.4.3-1
libaio 0.3.113-2
libao 1.2.2-6
libappindicator-gtk3 12.10.0.r298-3
libarchive 3.7.2-1
libass 0.17.1-2
libassuan 2.5.6-1
libasyncns 1:0.8+r3+g68cd5af-2
libatasmart 0.19-6
libavc1394 0.5.4-6
libavif 1.0.4-1
libb2 0.98.1-2
libblockdev 3.0.4-2
libbluray 1.3.4-1
libbpf 1.3.0-1
libbraiding 1.2-1
libbs2b 3.1.0-8
libbsd 0.11.8-1
libbytesize 2.8-2
libcamera 0.2.0-1
